City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Rikitea,PF,77.99,light rain,-23.1203,-134.9692,People ThankYou
1,Hilo,US,81.28,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
7,Sao Filipe,CV,71.76,few clouds,14.8961,-24.4956,Hotel Xaguate
10,Alofi,NU,84.09,scattered clouds,-19.0595,-169.9187,Taloa Heights
17,Port Alfred,ZA,68.79,clear sky,-33.5906,26.891,The Halyards Hotel
18,Luang Prabang,LA,76.96,broken clouds,19.8856,102.1347,The Apsara
20,Saposoa,PE,69.93,broken clouds,-6.934,-76.7716,Hostal Primavera
22,Atuona,PF,79.07,overcast clouds,-9.8,-139.0333,Villa Enata
23,Senanga,ZM,65.12,broken clouds,-16.1167,23.2667,Zango lodge
28,San Cristobal,VE,73.58,overcast clouds,7.7669,-72.225,Pirineos
29,Manavalakurichi,IN,82.72,overcast clouds,8.1333,77.3,Jebinrio home
31,Wajir,KE,75.43,scattered clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
32,Mackay,AU,86.68,few clouds,-21.15,149.2,International Lodge Motel
34,Huntington,US,67.1,clear sky,38.4193,-82.4452,Ramada Limited Huntington
37,Georgetown,MY,87.73,few clouds,5.4112,100.3354,Cititel Penang
39,Dingle,PH,87.87,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
42,Palmerston,AU,87.89,clear sky,-12.486,130.9833,Quest Palmerston - Serviced Apartments and Accommodation
43,Carnarvon,AU,80.67,clear sky,-24.8667,113.6333,Hospitality Carnarvon
44,Harper,LR,80.28,scattered clouds,4.375,-7.7169,Screensaver
46,Porto Novo,BJ,79.63,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
48,Yaounde,CM,66.49,overcast clouds,3.8667,11.5167,Hotel Mérina Yaoundé
49,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
54,Bambous Virieux,MU,76.21,light rain,-20.3428,57.7575,Casa Tia Villa
56,Saint-Philippe,RE,74.79,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
58,Nelson Bay,AU,69.01,few clouds,-32.7167,152.15,Mantra Nelson Bay
60,Linhares,BR,72.55,clear sky,-19.3911,-40.0722,Hotel Conceição
61,Avarua,CK,82.45,overcast clouds,-21.2078,-159.775,Paradise Inn
63,Namatanai,PG,84.29,light rain,-3.6667,152.4333,Seagulls Inn Namatani
64,Caucaia,BR,76.03,few clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
67,Kapaa,US,82.38,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
69,Cantaura,VE,81.28,overcast clouds,9.3057,-64.3584,Hotel Lorenzana
70,Christchurch,NZ,73.42,clear sky,-43.5333,172.6333,The George
72,Sao Joao Da Barra,BR,72.3,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
75,Doha,QA,89.58,clear sky,25.2867,51.5333,Movenpick Hotel Doha
78,Yining,CN,81.48,few clouds,29.0361,114.5636,Xiushui Hotel
81,Pecos,US,82.31,clear sky,31.4229,-103.4932,Knights Inn & Suites Pecos Northeast
82,Kutum,SD,75.43,few clouds,14.2,24.6667,Dibbo areaمنطقة دبو
85,Puerto Ayora,EC,73.17,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
86,Victoria,HK,81.25,clear sky,22.2855,114.1577,Mini Hotel Central
89,Gambela,ET,72.66,overcast clouds,8.25,34.5833,Solomon Debebe Hotel
90,Gua Musang,MY,82.42,overcast clouds,4.8823,101.9644,Mines Inn Hotel
91,Poso,ID,86.38,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
100,Lazaro Cardenas,MX,76.75,scattered clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
101,Dharchula,IN,70.7,scattered clouds,29.85,80.5333,Mahara Hotel
109,Faanui,PF,81.64,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
113,Lorengau,PG,84.25,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
115,Goianira,BR,69.62,few clouds,-16.4961,-49.4264,Estância Palmeiras
117,Kloulklubed,PW,79.3,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
119,Hambantota,LK,82.06,broken clouds,6.1241,81.1185,Bungalow 63
121,Daur,PK,82.31,clear sky,26.4583,68.3192,Khanzada goods transport
124,Soyo,AO,76.87,light rain,-6.1349,12.3689,Hotel Mpampa
126,Bengkulu,ID,82.49,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
127,Dali,CN,65.93,few clouds,25.7,100.1833,Dali Travelling With Hostel
132,Hong Gai,VN,80.51,few clouds,20.956,107.0946,Hạ Long DC Hotel
134,Cap Malheureux,MU,75.47,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
140,Acapulco,MX,80.42,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
145,Touros,BR,77.0,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
146,Cabedelo,BR,77.67,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
148,Bowen,AU,79.38,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
151,Mahebourg,MU,75.49,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
153,East London,ZA,69.71,clear sky,-33.0153,27.9116,Tu Casa
155,Saint George,US,83.95,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
157,Bonthe,SL,77.09,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
160,Arraial Do Cabo,BR,74.1,clear sky,-22.9661,-42.0278,Pousada Porto Praia
165,Meulaboh,ID,76.96,overcast clouds,4.1363,96.1285,Kost Pria
167,La Orilla,MX,76.33,scattered clouds,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
173,Nicoya,CR,78.64,light rain,10.1483,-85.452,Las Cabinas Del Sueño
174,Abu Dhabi,AE,84.31,clear sky,24.4667,54.3667,Beach Rotana
175,Hithadhoo,MV,84.38,overcast clouds,-0.6,73.0833,Scoop Guest House
176,Puerto Carreno,CO,77.88,light rain,6.189,-67.4859,Casa Hotel Victoria
179,Bacolod,PH,89.47,broken clouds,10.6667,122.95,Planta Hotel & Residences
180,Camana,PE,66.38,broken clouds,-16.6228,-72.7111,Hostal Morales
183,Ponta Delgada,PT,67.5,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
184,Champasak,LA,79.68,overcast clouds,14.75,106.0,Kiat Ngong Wetland BUNGALOW
188,Kempsey,AU,65.95,light rain,-31.0833,152.8333,Park Drive Motel
189,Roseau,DM,79.12,broken clouds,15.3017,-61.3881,Fort Young Hotel
191,Alenquer,BR,74.64,overcast clouds,-1.9417,-54.7383,Detinha Hotel
193,Cairns,AU,85.06,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
202,Nishihara,JP,76.68,light intensity drizzle,26.1842,127.7558,Minshuku Agaihama
206,Jati,PK,80.29,clear sky,24.3539,68.2671,Cafe Lala Rehan Restaurant
208,Mayumba,GA,77.86,overcast clouds,-3.432,10.6554,LIKWALE LODGE
212,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
215,Necocli,CO,76.69,overcast clouds,8.4234,-76.786,Hotel Boutique El Turista
216,Namie,JP,78.55,overcast clouds,37.4833,141.0,いこいの村なみえ
218,Oussouye,SN,75.38,clear sky,12.485,-16.5469,Auberge du Routard
222,Yamada,JP,67.51,clear sky,39.4667,141.95,Iroha-ya Inn
223,Nhulunbuy,AU,84.81,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
225,Cayenne,GF,81.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
231,Salinopolis,BR,78.3,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
232,Isangel,VU,80.67,clear sky,-19.55,169.2667,Tanna Lodge
233,Tupelo,US,66.49,moderate rain,34.2576,-88.7034,"Hilton Garden Inn Tupelo, MS"
237,Manta,EC,76.78,overcast clouds,-0.95,-80.7333,Balandra Hotel
238,Sompeta,IN,84.2,light rain,18.9333,84.6,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
240,Manati,PR,79.86,scattered clouds,18.4275,-66.4921,Manati World Point Inn
244,Sambava,MG,72.66,clear sky,-14.2667,50.1667,Melrose
247,Wanning,CN,78.42,broken clouds,18.8003,110.3967,Paradise Hotel
248,Pochutla,MX,79.83,clear sky,15.7432,-96.4661,Hotel Posada San Jose
252,Prainha,BR,74.26,overcast clouds,-1.8,-53.48,Casa Rocha
256,Hasaki,JP,77.29,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
259,Praya,CV,70.34,clear sky,14.9215,-23.5087,LT Aparthotel
260,Katsuura,JP,67.08,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
262,Komsomolskiy,UZ,68.72,light rain,40.4272,71.7189,Ikathouse
269,Vanimo,PG,87.39,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
272,Kavieng,PG,84.54,light rain,-2.5744,150.7967,Nusa Island Retreat
276,Laguna,US,72.1,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
277,Champerico,GT,83.41,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
284,Coari,BR,73.8,scattered clouds,-4.085,-63.1414,Dellrey Hotel Center
285,Pandhana,IN,88.18,clear sky,21.7,76.2167,ठा. करण सिंह चौहान
289,Geraldton,AU,70.21,clear sky,-28.7667,114.6,Broadwater Mariner Resort
290,Naze,JP,72.52,overcast clouds,28.3667,129.4833,Shishime Hotel
291,Canton,CN,80.55,broken clouds,23.1167,113.25,Shangjiuwan Hotel
292,Tirau,NZ,69.8,clear sky,-37.9833,175.75,A1 Troutfishing at Tirau
298,Martapura,ID,86.09,few clouds,-3.4167,114.85,Montana Hotel Syariah
299,Vila Velha,BR,75.15,overcast clouds,-20.3297,-40.2925,Hotel Vitória Palace
301,Ibra,OM,76.66,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
303,Carson City,US,66.31,overcast clouds,39.1638,-119.7674,Courtyard by Marriott Carson City
305,Namibe,AO,77.92,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
306,Souillac,MU,75.58,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
309,Huilong,CN,68.38,broken clouds,31.8111,121.655,Hilton Garden Inn Qidong
310,Rosa Zarate,EC,72.72,overcast clouds,0.3333,-79.4667,Piscinas y Recepciones Hecalash
311,Bhag,PK,87.87,clear sky,29.0415,67.8239,Bukhari hotl
312,Kudahuvadhoo,MV,83.19,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
313,Sola,VU,81.97,few clouds,-13.8833,167.55,Leumerus Bungalows
314,Bull Savanna,JM,76.24,broken clouds,17.8868,-77.5902,Big Red's
315,Umm Lajj,SA,74.46,clear sky,25.0213,37.2685,Moon light Furnished Units
316,Pemangkat,ID,84.45,broken clouds,1.1667,108.9667,Ramah Kost KITA
317,Mahabang Parang,PH,85.96,few clouds,13.9833,121.0833,Forestville Suites
320,Ampanihy,MG,69.06,clear sky,-24.7,44.75,Angora Hotel
321,Bundaberg,AU,79.09,broken clouds,-24.85,152.35,Takalvan Motel
323,Port Hedland,AU,82.45,clear sky,-20.3167,118.5667,The Esplanade Hotel
324,Bambanglipuro,ID,83.61,broken clouds,-7.95,110.2833,Puri Brata
326,Antalaha,MG,71.96,scattered clouds,-14.9003,50.2788,Hotel Vitasoa
328,Gonaives,HT,78.91,few clouds,19.45,-72.6833,Vertières Doux Séjour
329,Mehran,IR,73.83,clear sky,33.1222,46.1646,بوتیک زنانه بهار
330,Takoradi,GH,79.74,light rain,4.8845,-1.7554,Raybow International Hotel
331,Sabha,LY,77.41,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
334,San Patricio,US,82.83,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
335,Dingzhou,CN,69.91,overcast clouds,38.5131,114.9956,宜家时尚宾馆
343,Kaeo,NZ,70.32,clear sky,-35.1,173.7833,Bushido Lodge
345,Coahuayana,MX,73.31,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
346,Stephenville,US,68.81,clear sky,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
347,Paita,PE,67.89,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
348,Iralaya,HN,79.57,overcast clouds,15.0,-83.2333,Iglesia morava renovada
349,Ahipara,NZ,69.46,clear sky,-35.1667,173.1667,Ahipara Holiday Park
350,Dafeng,CN,80.1,overcast clouds,23.4517,108.5881,Shenglong Hotel
351,Sao Raimundo Nonato,BR,73.6,broken clouds,-9.0153,-42.6994,Real Hotel
354,Okato,NZ,67.91,clear sky,-39.2,173.8833,Stony River House
355,Tutoia,BR,77.63,overcast clouds,-2.7619,-42.2744,Pousada Guará's
356,Yangjiang,CN,79.52,clear sky,21.85,111.9667,HUALUXE Yangjiang City Center
357,Kalutara,LK,81.54,light rain,6.5831,79.9593,Tangerine Beach Hotel
360,Pandan,PH,86.11,overcast clouds,14.0453,124.1694,Bonifacio Lodge
361,Gazanjyk,TM,75.7,broken clouds,39.2446,55.5154,Railway motel
362,Butaritari,KI,81.68,few clouds,3.0707,172.7902,Isles Sunset Lodge
363,Praia,CV,70.34,clear sky,14.9215,-23.5087,LT Aparthotel
365,Panzhihua,CN,72.54,broken clouds,26.5851,101.7128,Electric Power Hotel
