City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,77.99,85,80,16.42,light rain
1,Hilo,US,19.7297,-155.09,81.28,93,100,6.91,light rain
2,Albany,US,42.6001,-73.9662,55.81,62,100,4.74,overcast clouds
3,Upernavik,GL,72.7868,-56.1549,2.55,94,58,4.9,broken clouds
4,Mataura,NZ,-46.1927,168.8643,64.24,61,100,2.3,overcast clouds
5,Sorland,NO,67.667,12.6934,40.17,89,100,23.67,light rain
6,Lebu,CL,-37.6167,-73.65,51.82,85,0,3.62,clear sky
7,Sao Filipe,CV,14.8961,-24.4956,71.76,82,17,5.5,few clouds
8,Rafaela,AR,-31.2503,-61.4867,60.98,57,6,7.38,clear sky
9,Luderitz,NA,-26.6481,15.1594,59.45,78,0,9.35,clear sky
10,Alofi,NU,-19.0595,-169.9187,84.09,65,40,8.05,scattered clouds
11,Busselton,AU,-33.65,115.3333,60.85,53,0,13.42,clear sky
12,Kaitangata,NZ,-46.2817,169.8464,63.18,62,100,2.26,overcast clouds
13,Port Elizabeth,ZA,-33.918,25.5701,63.32,90,0,12.66,clear sky
14,Aksha,RU,50.2814,113.2867,44.35,19,1,12.55,clear sky
15,Severo-Kurilsk,RU,50.6789,156.125,37.38,81,82,5.12,broken clouds
16,Barrow,US,71.2906,-156.7887,17.62,79,100,16.11,overcast clouds
17,Port Alfred,ZA,-33.5906,26.891,68.79,51,0,10.16,clear sky
18,Luang Prabang,LA,19.8856,102.1347,76.96,73,75,2.3,broken clouds
19,Punta Arenas,CL,-53.15,-70.9167,39.31,81,40,25.32,scattered clouds
20,Saposoa,PE,-6.934,-76.7716,69.93,99,80,2.08,broken clouds
21,Oranjemund,NA,-28.55,16.4333,55.92,96,2,4.5,clear sky
22,Atuona,PF,-9.8,-139.0333,79.07,75,100,15.19,overcast clouds
23,Senanga,ZM,-16.1167,23.2667,65.12,62,69,4.65,broken clouds
24,Bluff,NZ,-46.6,168.3333,59.4,75,100,5.79,overcast clouds
25,Qaanaaq,GL,77.484,-69.3632,12.11,76,13,7.49,few clouds
26,Nanortalik,GL,60.1432,-45.2371,34.39,92,100,14.65,light snow
27,Bethel,US,41.3712,-73.414,59.11,55,0,3.44,clear sky
28,San Cristobal,VE,7.7669,-72.225,73.58,90,100,2.64,overcast clouds
29,Manavalakurichi,IN,8.1333,77.3,82.72,80,98,10.11,overcast clouds
30,Baie-Saint-Paul,CA,47.4411,-70.4986,45.45,76,75,5.41,broken clouds
